Level,Date and Time,Source,Event ID,Task Category
Error,08/08/2018 12:24:44,Microsoft-Windows-DistributedCOM,10016,None,"The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{6B3B8D23-FA8D-40B9-8DBD-B950333E2C52}
 and APPID 
{4839DDB7-58C2-48F5-8283-E1D1807D0D7D}
 to the user NT AUTHORITY\LOCAL SERVICE SID (S-1-5-19) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Error,08/08/2018 12:24:44,Microsoft-Windows-DistributedCOM,10016,None,"The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{6B3B8D23-FA8D-40B9-8DBD-B950333E2C52}
 and APPID 
{4839DDB7-58C2-48F5-8283-E1D1807D0D7D}
 to the user NT AUTHORITY\LOCAL SERVICE SID (S-1-5-19) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Information,08/08/2018 12:24:44,Microsoft-Windows-UserModePowerService,12,(10),Process C:\Windows\System32\SurfaceUsbHubFwUpdateService.exe (process ID:4160) reset policy scheme from {381B4222-F694-41F0-9685-FF5BB260DF2E} to {381B4222-F694-41F0-9685-FF5BB260DF2E}
Information,08/08/2018 12:24:43,Microsoft-Windows-Winlogon,7001,(1101),User Log-on Notification for Customer Experience Improvement Program
Information,08/08/2018 12:24:43,TPM,18,None,This event triggers the Trusted Platform Module (TPM) provisioning/status check to run.
Information,08/08/2018 12:24:40,Microsoft-Windows-UserModePowerService,12,(10),Process C:\Windows\System32\SurfaceUsbHubFwUpdateService.exe (process ID:4160) reset policy scheme from {381B4222-F694-41F0-9685-FF5BB260DF2E} to {381B4222-F694-41F0-9685-FF5BB260DF2E}
Information,08/08/2018 12:24:38,Microsoft-Windows-Kernel-Power,520,(218),The brightness on this system is managed by high-precision brightness aware service.
Information,08/08/2018 12:24:38,Microsoft-Windows-WLAN-AutoConfig,4000,None,"WLAN AutoConfig service has successfully started.
"
Information,08/08/2018 12:24:37,Microsoft-Windows-FilterManager,6,None,"File System Filter 'storqosflt' (10.0, ‎2011‎-‎01‎-‎05T19:54:03.000000000Z) has successfully loaded and registered with Filter Manager."
Information,08/08/2018 12:24:37,Microsoft-Windows-FilterManager,6,None,"File System Filter 'CldFlt' (10.0, ‎2005‎-‎05‎-‎17T04:25:49.000000000Z) has successfully loaded and registered with Filter Manager."
Information,08/08/2018 12:24:37,Microsoft-Windows-FilterManager,1,None,"File System Filter 'CldFlt' (Version 10.0, ‎2005‎-‎05‎-‎17T04:25:49.000000000Z) unloaded successfully."
